Fecha,Super_TCROC,Super_TCROCM,Super_ETCROC,Super_ETCROCM,Regular_TCROC,Regular_TCROCM,Regular_ETCROC,Regular_ETCROCM,Diesel_TCROC,Diesel_TCROCM,Diesel_ETCROC,Diesel_ETCROCM,Kerosene_TCROC,Kerosene_TCROCM,Kerosene_ETCROC,Kerosene_ETCROCM
2017-01-02,,,,,,,,,,,,,,,,
2017-01-09,,,,,,,,,,,,,,,,
2017-01-16,,,,,,,,,,,,,,,,
2017-01-23,0.008900831775041418,0.008900831775041418,0.008447509896278849,0.008447509896278849,0.011999172350310339,0.011999172350310339,0.01147349972140077,0.01147349972140077,0.005349573247161121,0.005349573247161121,0.0048673253042901266,0.0048673253042901266,0.010291036026278455,0.010291036026278455,0.009889674853674979,0.009889674853674979
2017-01-30,0.004718906177173077,0.004718906177173077,0.004432170133274349,0.004432170133274349,0.004915712586147647,0.004915712586147647,0.004192737580071881,0.004192737580071881,-0.00014213865945122972,-0.00014213865945122972,-0.0006306814477086142,-0.0006306814477086142,0.004849099975260396,0.004849099975260396,0.004291329341772787,0.004291329341772787
2017-02-06,0.0009924273090293756,0.0009924273090293756,0.0006214190399518316,0.0006214190399518316,-0.0010312875579561176,-0.0010312875579561176,-0.0013627716679018853,-0.0013627716679018853,-0.002355534539191906,-0.002355534539191906,-0.002258315202550709,-0.002258315202550709,0.0018025652174860074,0.0018025652174860074,0.0018190299872045124,0.0018190299872045124
2017-02-13,-0.004308572331367055,-0.004308572331367055,-0.004874713432669653,-0.004874713432669653,-0.006729855413163621,-0.006729855413163621,-0.007406544408262716,-0.007406544408262716,-0.002914649522698265,-0.002914649522698265,-0.0031111863576227528,-0.0031111863576227528,0.0006617124173982081,0.0006617124173982081,0.00044442885908391183,0.00044442885908391183
2017-02-20,-0.0076031898530611874,-0.0076031898530611874,-0.007618067103004833,-0.007618067103004833,-0.009353490645497842,-0.009353490645497842,-0.009135470496351328,-0.009135470496351328,-0.0026484875345260672,-0.0026484875345260672,-0.0024035292190924817,-0.0024035292190924817,0.0011351271680055675,0.0011351271680055675,0.0014358169951278477,0.0014358169951278477
2017-02-27,-0.00649198400667661,-0.00649198400667661,-0.006278999445061051,-0.006278999445061051,-0.006420340211192754,-0.006420340211192754,-0.00611981989757493,-0.00611981989757493,0.00013873883214543525,0.00013873883214543525,0.0003851899436664308,0.0003851899436664308,0.0034037654813499074,0.0034037654813499074,0.0035029510604882574,0.0035029510604882574
2017-03-06,-0.0029894793124330965,-0.0029894793124330965,-0.0025832233536309257,-0.0025832233536309257,-0.00038263778839464635,-0.00038263778839464635,0.0003845249974425702,0.0003845249974425702,0.003072301614927664,0.003072301614927664,0.0033427932983114417,0.0033427932983114417,0.0055613189456822365,0.0055613189456822365,0.0058417982905816235,0.0058417982905816235
