Fecha,PIB en Dólares Corrientes (Millones de USD)_TCROC,PIB en Dólares Corrientes (Millones de USD)_TCROCM,PIB en Dólares Corrientes (Millones de USD)_ETCROC,PIB en Dólares Corrientes (Millones de USD)_ETCROCM,Tasa de Crecimiento Anual del PIB (%)_TCROC,Tasa de Crecimiento Anual del PIB (%)_TCROCM,Tasa de Crecimiento Anual del PIB (%)_ETCROC,Tasa de Crecimiento Anual del PIB (%)_ETCROCM,PIB per cápita en Dólares Corrientes (USD)_TCROC,PIB per cápita en Dólares Corrientes (USD)_TCROCM,PIB per cápita en Dólares Corrientes (USD)_ETCROC,PIB per cápita en Dólares Corrientes (USD)_ETCROCM,PIB per cápita en Lempiras a Precios Constantes_TCROC,PIB per cápita en Lempiras a Precios Constantes_TCROCM,PIB per cápita en Lempiras a Precios Constantes_ETCROC,PIB per cápita en Lempiras a Precios Constantes_ETCROCM
2000-01-01,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,
2003-01-01,0.04467699334859865,,0.042725598882114246,,-0.5040046248503118,,-0.5040046248503118,,0.017614199025420163,,0.015403327147086143,,0.005167946328631823,,0.005167946328631823,
2004-01-01,0.03748233364029141,,0.03854350120548511,,0.2703334902077732,,0.2703334902077732,,0.010554636853481014,,0.01182601476057088,,0.014786390489266,,0.014786390489266,
2005-01-01,0.06319179179627943,,0.06476959068358679,,0.30616999856177207,,0.30616999856177207,,0.03624758490766222,,0.03810802009995817,,0.02773224393786866,,0.02773224393786866,
2006-01-01,0.08969615084369931,,0.09085933822488923,,0.10959516360471411,,0.10959516360471411,,0.06295081509857536,,0.06434192040797093,,0.03559468418403,,0.03559468418403,
2007-01-01,0.11040864004061035,,0.11137926766622508,,0.02684597575561476,,0.02684597575561476,,0.08395610848564017,,0.08511902085492484,,0.03805090425561386,,0.03805090425561386,
2008-01-01,0.1263353293023457,0.09022160730314699,0.12701708289564495,0.10318031624331558,0.008141170453092261,,0.008141170453092261,,0.10028470547268009,0.060350386674644874,0.10111672461815946,0.07627257903966811,0.039235851373151664,,0.039235851373151664,
2009-01-01,0.12705305840885384,0.1002082774027444,0.1265815195914488,0.11145990419878915,-0.17953878818374835,,-0.17953878818374835,,0.10190238950252528,0.07093373273779147,0.1013937424016409,0.08528485136597941,0.02813130716091572,,0.02813130716091572,
2010-01-01,0.08275526018287582,0.09339695575605056,0.07906303183381147,0.09117652031618384,-0.7170417548791119,,-0.7170417548791119,,0.0598468495111093,0.06808492582607917,0.05560710595085938,0.06671112001302948,-0.013739935837094097,,-0.013739935837094097,
2011-01-01,0.06919540313801331,0.09473528656985208,0.07101714062254216,0.09033536952510657,-1.8127978216473792,-0.27396461688460605,-1.8127978216473792,-0.27396461688460605,0.0460049729701586,0.07099436184804375,0.048148112181723324,0.06653512750885637,-0.01638992517192117,0.01571201350932938,-0.01638992517192117,0.01571201350932938
2012-01-01,0.10329465928076775,0.10110915369698481,0.10496426608955334,0.10005259619798235,-0.7346173641877505,-0.17691857727208404,-0.7346173641877505,-0.17691857727208404,0.08009518262712323,0.07750911879541111,0.08207191153144588,0.07655946018701032,0.016316433720924062,0.017150206725373263,0.016316433720924062,0.017150206725373263
2013-01-01,0.07816339913003945,0.08829081619275736,0.07447849408213214,0.08114065827446226,0.053174450861001255,-0.1785085636969378,0.053174450861001255,-0.1785085636969378,0.05707245380208947,0.0666979812466495,0.05282603675945441,0.05873183151229022,0.018805387820687303,0.018036561177766863,0.018805387820687303,0.018036561177766863
2014-01-01,0.02124608389902871,0.06699411652756582,0.018756282983061867,0.053184014268568,-0.13900165081361526,-0.21088121544837335,-0.13900165081361526,-0.21088121544837335,0.0014735772460845453,0.047591114504601295,-0.0013795788611596915,0.03193302816348287,0.013976736966244907,0.016809863491831223,0.013976736966244907,0.016809863491831223
2015-01-01,0.03313623787530395,0.06287173870842189,0.03678420083111744,0.05567507913577696,-0.1924600458918725,-0.25193675150100114,-0.1924600458918725,-0.25193675150100114,0.012445724427509353,0.04285337077371354,0.016693977432635343,0.03468566545115381,0.009304120849084496,0.014658146198299082,0.009304120849084496,0.014658146198299082
2016-01-01,0.06472895107008125,0.058198532263612934,0.06441650991578385,0.05573887549702916,0.1831207683829319,-0.2710394032754986,0.1831207683829319,-0.2710394032754986,0.04454917632947075,0.03771370104465799,0.044206295211730584,0.035093851356970074,0.014859748886884239,0.013475251539437627,0.014859748886884239,0.013475251539437627
2017-01-01,0.04773970366823743,0.05439657042841639,0.04634957143896279,0.049626078396999285,0.10696331690806837,-0.31958335042034036,0.10696331690806837,-0.31958335042034036,0.028355832680549753,0.034905959418960686,0.026760619658339646,0.029480159713063392,0.019219773135045637,0.011863680240633334,0.019219773135045637,0.011863680240633334
2018-01-01,0.050765948584193366,0.05379596869947756,0.05234103913044619,0.05316488757644944,0.13011376377699757,-0.33744988043630586,0.13011376377699757,-0.33744988043630586,0.03108876806935923,0.03394028542637617,0.0329334819884739,0.033271131364270845,0.02450100092124896,0.01151819764293327,0.02450100092124896,0.01151819764293327
2019-01-01,0.05200010992436832,0.04555287346575687,0.05069865815832708,0.047153565216507154,-0.029682787095703378,-0.32124857642168503,-0.029682787095703378,-0.32124857642168503,0.033050935234730794,0.025374986077947748,0.03155271801587234,0.02764580206550682,0.02427723528655612,0.011744829871503937,0.02427723528655612,0.011744829871503937
2020-01-01,0.03692461824081672,0.04330018427378968,0.036589532857465024,0.043214785071835626,-0.2555644045772729,-0.15865510766579272,-0.2555644045772729,-0.15865510766579272,0.01827599144341585,0.023692047495631918,0.017900942369327266,0.024046164353348276,0.013286023067538677,0.016610122551957263,0.013286023067538677,0.016610122551957263
2021-01-01,-0.015409994544967942,0.028653053509218873,-0.02039058864682719,0.0141915717322465,-1.6165865384615388,-0.26373652753852606,-1.6165865384615388,-0.26373652753852606,-0.0319625576001773,0.012213631458077412,-0.03770414063038163,-0.004179261910341681,-0.049549197015824276,0.0025731222328815306,-0.049549197015824276,0.0025731222328815306
2022-01-01,0.06340886350280694,0.05178452611609208,0.07744401907486775,0.0600848259231932,-2.559695223209925,-1.1267817439621672,-2.559695223209925,-1.1267817439621672,0.04309327205800528,0.03206898384327728,0.059406914508357556,0.041554875159871774,-0.011023229741221385,0.010940933549019594,-0.011023229741221385,0.010940933549019594
2023-01-01,0.1527315290809217,0.06368239783788843,0.148324600727044,0.07816490065052051,-1.2545987726541918,-0.9702959833606366,-1.2545987726541918,-0.9702959833606366,0.1343183709004463,0.04285453063479383,0.1291891103351548,0.05977804996755709,0.0613734392039722,0.01157279262498534,0.0613734392039722,0.01157279262498534
2024-01-01,0.10442060570753653,0.0732035229135648,0.10329525023104469,0.08530816667861618,-0.6182523573392256,-0.960807023119823,-0.6182523573392256,-0.960807023119823,0.08602772087524246,0.05253243578896316,0.08469481875703444,0.06689904117767664,0.021062770870654557,0.012645187882829756,0.021062770870654557,0.012645187882829756
